18034,ocd-division/country:us/state:in/sldu:34
18035,ocd-division/country:us/state:in/sldu:35
18036,ocd-division/country:us/state:in/sldu:36
18037,ocd-division/country:us/state:in/sldu:37
18038,ocd-division/country:us/state:in/sldu:38
18039,ocd-division/country:us/state:in/sldu:39
18040,ocd-division/country:us/state:in/sldu:40
18041,ocd-division/country:us/state:in/sldu:41
18042,ocd-division/country:us/state:in/sldu:42
18043,ocd-division/country:us/state:in/sldu:43
18044,ocd-division/country:us/state:in/sldu:44
18045,ocd-division/country:us/state:in/sldu:45
18046,ocd-division/country:us/state:in/sldu:46
18047,ocd-division/country:us/state:in/sldu:47
18048,ocd-division/country:us/state:in/sldu:48
18049,ocd-division/country:us/state:in/sldu:49
18050,ocd-division/country:us/state:in/sldu:50
19001,ocd-division/country:us/state:ia/sldu:1
19002,ocd-division/country:us/state:ia/sldu:2
19003,ocd-division/country:us/state:ia/sldu:3
19004,ocd-division/country:us/state:ia/sldu:4
19005,ocd-division/country:us/state:ia/sldu:5
19006,ocd-division/country:us/state:ia/sldu:6
19007,ocd-division/country:us/state:ia/sldu:7
19008,ocd-division/country:us/state:ia/sldu:8
19009,ocd-division/country:us/state:ia/sldu:9
19010,ocd-division/country:us/state:ia/sldu:10
19011,ocd-division/country:us/state:ia/sldu:11
19012,ocd-division/country:us/state:ia/sldu:12
19013,ocd-division/country:us/state:ia/sldu:13
19014,ocd-division/country:us/state:ia/sldu:14
19015,ocd-division/country:us/state:ia/sldu:15
19016,ocd-division/country:us/state:ia/sldu:16
19017,ocd-division/country:us/state:ia/sldu:17
19018,ocd-division/country:us/state:ia/sldu:18
19019,ocd-division/country:us/state:ia/sldu:19
19020,ocd-division/country:us/state:ia/sldu:20
19021,ocd-division/country:us/state:ia/sldu:21
19022,ocd-division/country:us/state:ia/sldu:22
19023,ocd-division/country:us/state:ia/sldu:23
19024,ocd-division/country:us/state:ia/sldu:24
19025,ocd-division/country:us/state:ia/sldu:25
19026,ocd-division/country:us/state:ia/sldu:26
19027,ocd-division/country:us/state:ia/sldu:27
19028,ocd-division/country:us/state:ia/sldu:28
19029,ocd-division/country:us/state:ia/sldu:29
19030,ocd-division/country:us/state:ia/sldu:30
19031,ocd-division/country:us/state:ia/sldu:31
19032,ocd-division/country:us/state:ia/sldu:32
19033,ocd-division/country:us/state:ia/sldu:33
19034,ocd-division/country:us/state:ia/sldu:34
19035,ocd-division/country:us/state:ia/sldu:35
19036,ocd-division/country:us/state:ia/sldu:36
19037,ocd-division/country:us/state:ia/sldu:37
19038,ocd-division/country:us/state:ia/sldu:38
19039,ocd-division/country:us/state:ia/sldu:39
19040,ocd-division/country:us/state:ia/sldu:40
19041,ocd-division/country:us/state:ia/sldu:41
19042,ocd-division/country:us/state:ia/sldu:42
19043,ocd-division/country:us/state:ia/sldu:43
19044,ocd-division/country:us/state:ia/sldu:44
19045,ocd-division/country:us/state:ia/sldu:45
19046,ocd-division/country:us/state:ia/sldu:46
19047,ocd-division/country:us/state:ia/sldu:47
19048,ocd-division/country:us/state:ia/sldu:48
19049,ocd-division/country:us/state:ia/sldu:49
19050,ocd-division/country:us/state:ia/sldu:50
20001,ocd-division/country:us/state:ks/sldu:1
20002,ocd-division/country:us/state:ks/sldu:2
20003,ocd-division/country:us/state:ks/sldu:3
20004,ocd-division/country:us/state:ks/sldu:4
20005,ocd-division/country:us/state:ks/sldu:5
20006,ocd-division/country:us/state:ks/sldu:6
20007,ocd-division/country:us/state:ks/sldu:7
20008,ocd-division/country:us/state:ks/sldu:8
20009,ocd-division/country:us/state:ks/sldu:9
20010,ocd-division/country:us/state:ks/sldu:10
20011,ocd-division/country:us/state:ks/sldu:11
20012,ocd-division/country:us/state:ks/sldu:12
